"vin_1_10","county","city","state","zip_code","model_year","make","model","ev_type","cafv_type","electric_range","legislative_district","dol_vehicle_id","geocoded_column","electric_utility","_2020_census_tract"
"5YJYGDEE6M","King","Redmond","WA","98052","2021","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","45","180094764","POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032323"
"1G1FY6S04M","King","Seattle","WA","98125","2021","CHEVROLET","BOLT EV","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","46","151804145","POINT (-122.30253 47.72656)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033000900"
"7SAYGDEF5R","Snohomish","Lake Stevens","WA","98258","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","44","271684143","POINT (-122.06402 48.01497)","PUGET SOUND ENERGY INC","53061052604"
"5YJSA1E57P","King","Seattle","WA","98116","2023","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","34","230353980","POINT (-122.41067 47.57894)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033009600"
"JTMEB3FVXM","Clark","Vancouver","WA","98686","2021","TOYOTA","RAV4 PRIME (PHEV)","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","42","49","141834003","POINT (-122.62731 45.71668)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","53011040803"
"5YJSA1E27J","Kitsap","Poulsbo","WA","98370","2018","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","249","23","220929103","POINT (-122.64681 47.73689)","PUGET SOUND ENERGY INC","53035090400"
"5YJ3E1EA0R","King","Bellevue","WA","98007","2024","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","48","272495625","POINT (-122.12056 47.61334)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033023201"
"5YJXCAE27G","Clark","Vancouver","WA","98685","2016","TESLA","MODEL X","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","200","18","207590862","POINT (-122.70303 45.70954)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","53011040909"
"1FT6W1EVXP","King","Seattle","WA","98103","2023","FORD","F-150","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","46","270921710","POINT (-122.35436 47.67596)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033002700"
"7SAYGDEE8T","King","Redmond","WA","98052","2026","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","45","287569593","POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032323"
"7SAYGAEE1R","Yakima","Grandview","WA","98930","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","15","263274266","POINT (-119.90116 46.25606)","BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN","53077001902"
"1G1FX6S01H","King","Kirkland","WA","98033","2017","CHEVROLET","BOLT EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","238","48","331975094","POINT (-122.2066 47.67887)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022703"
"7PDSGCBA1R","Clark","Camas","WA","98607","2024","RIVIAN","R1S","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","18","260181659","POINT (-122.40199 45.58694)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","53011040610"
"1G1RA6S59H","King","Shoreline","WA","98133","2017","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","53","32","253096896","POINT (-122.33364 47.73709)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033021000"
"7SAYGDEF4N","King","Seattle","WA","98146","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","34","212325788","POINT (-122.36322 47.49736)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033012100"
"7SAYGDEE0P","King","Bellevue","WA","98005","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","41","269074333","POINT (-122.1621 47.64441)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033023604"
"JTDKN3DP8D","King","Seattle","WA","98133","2013","TOYOTA","PRIUS","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","6","32","172177435","POINT (-122.33364 47.73709)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033001400"
"7SAYGDEEXS","King","Bellevue","WA","98004","2025","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","41","287714381","POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033023808"
"7SAYGAEE0R","King","Seattle","WA","98109","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","36","273585917","POINT (-122.35022 47.63824)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033006800"
"YV4ED3GBXN","King","Issaquah","WA","98029","2022","VOLVO","C40","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","5","207187690","POINT (-122.01656 47.57118)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032221"
"5YJYGDEF6M","King","Seattle","WA","98178","2021","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","37","151345834","POINT (-122.25031 47.49481)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033011901"
"KM8KRDAF5N","Jefferson","Port Ludlow","WA","98365","2022","HYUNDAI","IONIQ 5","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","24","196572295","POINT (-122.68475 47.92989)","BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY","53031950302"
"5YJ3E1ET9S","Clark","Vancouver","WA","98663","2025","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","49","286080462","POINT (-122.64695 45.65675)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","53011041011"
"7SAYGDEE7T","Clark","Ridgefield","WA","98642","2026","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","18","286979584","POINT (-122.74595 45.81539)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","53011040403"
"7SAYGDEE9T","King","Bothell","WA","98011","2026","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","1","289437249","POINT (-122.20563 47.76144)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033021804"
"JTMEB3FV4R","King","Shoreline","WA","98155","2024","TOYOTA","RAV4 PRIME (PHEV)","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","42","32","261744059","POINT (-122.30304 47.75494)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033021100"
"WVGJNPE27N","King","Seattle","WA","98177","2022","VOLKSWAGEN","ID.4","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","32","213572852","POINT (-122.37238 47.74068)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033000500"
"7SAYGDEEXT","King","Bellevue","WA","98006","2026","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","41","284864289","POINT (-122.12096 47.55584)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033024704"
"7SAYGDEE3S","King","Bellevue","WA","98008","2025","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","48","274265589","POINT (-122.11867 47.63131)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033023000"
"5YJ3E1EB6N","King","Kirkland","WA","98033","2022","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","48","207407777","POINT (-122.2066 47.67887)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022502"
